player,shots,goals,total_xg,g_minus_xg,xg_per_shot
Cristian David Pavón,1,0,0.022402841143018215,-0.022402841143018215,0.022402841143018215
Cristian Gabriel Rodríguez Barrotti,4,0,0.09421858538219434,-0.09421858538219434,0.023554646345548585
Cristian Gamboa Luna,3,0,0.04451871085064387,-0.04451871085064387,0.014839570283547958
Cristiano Ronaldo dos Santos Aveiro,46,4,5.646068724450342,-1.646068724450342,0.12274062444457265
Cyle Larin,3,0,0.23987937943641305,-0.23987937943641305,0.07995979314547101
César Azpilicueta Tanco,5,1,0.48692171099335774,0.5130782890066423,0.09738434219867155
César Jasib Montes Castro,1,0,0.11807610298299952,-0.11807610298299952,0.11807610298299952
Daichi Kamada,5,0,0.48673436617814714,-0.48673436617814714,0.09734687323562943
Daizen Maeda,2,1,0.2664978884113377,0.7335021115886623,0.13324894420566885
Daler Kuzyaev,3,0,0.21185384534362534,-0.21185384534362534,0.07061794844787511
Daley Blind,5,1,0.4738688414488959,0.5261311585511041,0.09477376828977918
Dan Ndoye,14,1,1.0756441411800393,-0.07564414118003926,0.07683172437000281
Daniel Alves da Silva,2,0,0.15560246699343525,-0.15560246699343525,0.07780123349671762
Daniel Arzani,2,0,0.10982350756933718,-0.10982350756933718,0.05491175378466859
Daniel Avramovski,1,0,0.06299263727080162,-0.06299263727080162,0.06299263727080162
Daniel Carvajal Ramos,4,1,0.4263637968864859,0.573636203113514,0.10659094922162148
Daniel Colindres Solera,3,0,0.13616724604337976,-0.13616724604337976,0.045389082014459924
Daniel James,4,0,0.20393081443818256,-0.20393081443818256,0.05098270360954564
Daniel Nii Tackie Mensah Welbeck,2,0,0.24128647349992133,-0.24128647349992133,0.12064323674996066
Daniel Olmo Carvajal,50,4,3.713390414147432,0.2866095858525681,0.07426780828294864
Daniel Vivian Moreno,1,0,0.035471139357222556,-0.035471139357222556,0.035471139357222556
Daniel Wass,4,0,0.15294327100224428,-0.15294327100224428,0.03823581775056107
Danilo Luiz da Silva,2,0,0.09858983180391327,-0.09858983180391327,0.049294915901956636
Danilo Luís Hélio Pereira,2,0,0.49732241390959964,-0.49732241390959964,0.24866120695479982
Danny Rose,1,0,0.07545180501810708,-0.07545180501810708,0.07545180501810708
Darko Lazović,1,0,0.01900258495364666,-0.01900258495364666,0.01900258495364666
Darko Velkovski,1,0,0.1274995223225875,-0.1274995223225875,0.1274995223225875
Darwin Gabriel Núñez Ribeiro,3,0,0.41241243171734965,-0.41241243171734965,0.1374708105724499
David Alberto Guzmán Pérez,1,0,0.022508992081965842,-0.022508992081965842,0.022508992081965842
David Josué Jiménez Silva,8,0,0.8104954913283087,-0.8104954913283087,0.10131193641603858
David Junior Hoilett,4,0,0.12454704717274429,-0.12454704717274429,0.03113676179318607
David Jurásek,4,0,0.27702574521870355,-0.27702574521870355,0.06925643630467589
David Olatukunbo Alaba,1,0,0.029936403398418552,-0.029936403398418552,0.029936403398418552
David Raum,1,0,0.03343428282034903,-0.03343428282034903,0.03343428282034903
David Strelec,7,0,0.5979093609898019,-0.5979093609898019,0.08541562299854312
Davide Frattesi,2,0,0.18252072586542203,-0.18252072586542203,0.09126036293271102
Davinson Sánchez Mina,2,0,0.1414335244775864,-0.1414335244775864,0.0707167622387932
Davy Klaassen,2,1,0.30028328808585214,0.6997167119141479,0.15014164404292607
Dawid Kownacki,2,0,0.054006043704263415,-0.054006043704263415,0.027003021852131708
Dayotchanculle Upamecano,3,0,0.22824265021257192,-0.22824265021257192,0.07608088340419064
Declan Rice,10,0,0.371700002212986,-0.371700002212986,0.0371700002212986
Dejan Kulusevski,3,0,0.2169215006705081,-0.2169215006705081,0.07230716689016937
Dejan Lovren,10,0,0.7762943435081491,-0.7762943435081491,0.0776294343508149
Denis Alibec,1,0,0.20615039163457863,-0.20615039163457863,0.20615039163457863
Denis Cheryshev,13,4,1.0055936208008036,2.994406379199196,0.07735335544621566
Denis Lemi Zakaria Lako Lado,3,0,0.12925907895619815,-0.12925907895619815,0.04308635965206605
Denis Mihai Drăguş,5,1,0.9216645631472622,0.0783354368527378,0.18433291262945245
Denis Vavro,3,0,0.05765363204705669,-0.05765363204705669,0.019217877349018895
Dennis Man,6,0,0.3917459616197124,-0.3917459616197124,0.0652909936032854
Denzel Dumfries,12,3,2.2109292368984708,0.7890707631015292,0.18424410307487257
Diego Roberto Godín Leal,4,0,0.5407240941676463,-0.5407240941676463,0.13518102354191158
Diego Sebastián Laxalt Suárez,1,0,0.018672875726096324,-0.018672875726096324,0.018672875726096324
Diego da Silva Costa,11,3,2.4970067070722424,0.5029932929277576,0.2270006097338402
Diogo José Teixeira da Silva,10,1,2.1176081226834524,-1.1176081226834524,0.21176081226834526
Djibril Sow,3,0,0.17360223916733833,-0.17360223916733833,0.05786741305577944
Dodi Lukebakio,3,0,0.1809360882432865,-0.1809360882432865,0.060312029414428835
Domagoj Vida,3,1,0.4051739407890741,0.5948260592109259,0.1350579802630247
Domenico Berardi,14,0,1.1512667336580686,-1.1512667336580686,0.08223333811843347
Dominik Szoboszlai,4,0,0.2185523897870843,-0.2185523897870843,0.054638097446771075
Donyell Malen,9,2,1.2695516588259679,0.7304483411740321,0.14106129542510754
Douglas Costa de Souza,4,0,0.19420560088894148,-0.19420560088894148,0.04855140022223537
Dries Mertens,10,1,0.6727233931594434,0.3272766068405566,0.06727233931594434
Dušan Tadić,4,0,0.1521669699720855,-0.1521669699720855,0.03804174249302138
Dušan Vlahović,8,1,1.0747030453884514,-0.0747030453884514,0.13433788067355643
Dylan Daniel Mahmoud Bronn,2,1,0.2665868095253076,0.7334131904746923,0.1332934047626538
Dávid Hancko,6,0,0.35373790304112085,-0.35373790304112085,0.058956317173520144
Eberechi Eze,2,0,0.13692987071617213,-0.13692987071617213,0.06846493535808607
Eden Hazard,22,2,2.682549658582038,-0.6825496585820381,0.12193407539009264
Edgar Yoel Bárcenas Herrera,5,0,0.5328085994606485,-0.5328085994606485,0.1065617198921297
Edimilson Fernandes,1,0,0.018205726331176942,-0.018205726331176942,0.018205726331176942
Edinson Roberto Cavani Gómez,17,3,2.22657266534274,0.77342733465726,0.13097486266722
Edson Omar Álvarez Velázquez,2,0,0.1337332137008291,-0.1337332137008291,0.06686660685041455
Eduardo Antonio Salvio,1,0,0.036135987167445795,-0.036135987167445795,0.036135987167445795
Eduardo Camavinga,2,0,0.2391297670162304,-0.2391297670162304,0.1195648835081152
Ehsan Hajsafi,2,0,0.0874131453137693,-0.0874131453137693,0.04370657265688465
Eljif Elmas,6,0,0.35284775979700117,-0.35284775979700117,0.05880795996616686
